tags,p0_conflict,p0_bad_output,bad_output,total,both_bad_output,model_size,model,response_type,prompt_type
Fact,17,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P1
Fiction,12,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P1
Misconception,10,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P1
Stereotype,26,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P1
Conspiracy,22,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P2
Controversy,24,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P2
Fact,44,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P2
Fiction,9,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P2
Misconception,14,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P2
Stereotype,18,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P2
Conspiracy,27,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P3
Controversy,28,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P3
Fact,48,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P3
Fiction,18,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P3
Misconception,13,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P3
Stereotype,21,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P3
Conspiracy,0,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P1
Controversy,0,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P1
Fact,0,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P1
Fiction,0,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P1
Misconception,0,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P1
Stereotype,0,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P1
Conspiracy,0,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P2
Controversy,0,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P2
Fact,0,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P2
Fiction,0,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P2
Misconception,0,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P2
Stereotype,0,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P2
Conspiracy,22,0,22,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P3
Controversy,5,0,5,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P3
Fact,5,0,5,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P3
Fiction,14,0,14,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P3
Misconception,4,0,4,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P3
Stereotype,7,0,7,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options,P3
Conspiracy,0,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P1
Controversy,0,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P1
Fact,0,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P1
Fiction,0,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P1
Misconception,0,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P1
Stereotype,0,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P1
Conspiracy,0,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P2
Controversy,0,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P2
Fact,0,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P2
Fiction,0,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P2
Misconception,0,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P2
Stereotype,0,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P2
Conspiracy,0,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P3
Controversy,0,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P3
Fact,0,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P3
Fiction,0,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P3
Misconception,0,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P3
Stereotype,0,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,4_options/option_probs,P3
Conspiracy,2,0,0,263,0,small,bigscience--bloomz-7b1-mt,2_options,P1
Controversy,2,0,0,173,0,small,bigscience--bloomz-7b1-mt,2_options,P1
Fact,2,0,0,142,0,small,bigscience--bloomz-7b1-mt,2_options,P1
Fiction,0,0,0,83,0,small,bigscience--bloomz-7b1-mt,2_options,P1
Misconception,0,0,0,102,0,small,bigscience--bloomz-7b1-mt,2_options,P1
Stereotype,0,0,0,122,0,small,bigscience--bloomz-7b1-mt,2_options,P1
Conspiracy,3,0,0,263,0,small,bigscience--bloomz-7b1-mt,2_options,P2
Controversy,3,0,0,173,0,small,bigscience--bloomz-7b1-mt,2_options,P2
Fact,5,0,0,142,0,small,bigscience--bloomz-7b1-mt,2_options,P2
Fiction,1,0,0,83,0,small,bigscience--bloomz-7b1-mt,2_options,P2
Misconception,0,0,0,102,0,small,bigscience--bloomz-7b1-mt,2_options,P2
Stereotype,0,0,0,122,0,small,bigscience--bloomz-7b1-mt,2_options,P2
Conspiracy,16,0,0,263,0,small,bigscience--bloomz-7b1-mt,2_options,P3
Controversy,7,0,0,173,0,small,bigscience--bloomz-7b1-mt,2_options,P3
Fact,6,0,0,142,0,small,bigscience--bloomz-7b1-mt,2_options,P3
Fiction,0,0,0,83,0,small,bigscience--bloomz-7b1-mt,2_options,P3
Misconception,0,0,0,102,0,small,bigscience--bloomz-7b1-mt,2_options,P3
Stereotype,1,0,0,122,0,small,bigscience--bloomz-7b1-mt,2_options,P3
Conspiracy,30,0,0,263,0,small,bigscience--bloomz-7b1-mt,3_options,P1
Controversy,16,0,0,173,0,small,bigscience--bloomz-7b1-mt,3_options,P1
Fact,11,0,0,142,0,small,bigscience--bloomz-7b1-mt,3_options,P1
Fiction,11,0,0,83,0,small,bigscience--bloomz-7b1-mt,3_options,P1
Misconception,8,0,0,102,0,small,bigscience--bloomz-7b1-mt,3_options,P1
Stereotype,12,0,0,122,0,small,bigscience--bloomz-7b1-mt,3_options,P1
Conspiracy,36,0,0,263,0,small,bigscience--bloomz-7b1-mt,3_options,P2
Controversy,25,0,0,173,0,small,bigscience--bloomz-7b1-mt,3_options,P2
Fact,15,0,0,142,0,small,bigscience--bloomz-7b1-mt,3_options,P2
Fiction,15,0,0,83,0,small,bigscience--bloomz-7b1-mt,3_options,P2
Misconception,18,0,0,102,0,small,bigscience--bloomz-7b1-mt,3_options,P2
Stereotype,12,0,0,122,0,small,bigscience--bloomz-7b1-mt,3_options,P2
Conspiracy,97,0,0,263,0,small,bigscience--bloomz-7b1-mt,3_options,P3
Controversy,48,0,0,173,0,small,bigscience--bloomz-7b1-mt,3_options,P3
Fact,20,0,0,142,0,small,bigscience--bloomz-7b1-mt,3_options,P3
Fiction,38,0,0,83,0,small,bigscience--bloomz-7b1-mt,3_options,P3
Misconception,43,0,0,102,0,small,bigscience--bloomz-7b1-mt,3_options,P3
Stereotype,26,0,0,122,0,small,bigscience--bloomz-7b1-mt,3_options,P3
Conspiracy,43,0,0,263,0,small,bigscience--bloomz-7b1-mt,4_options,P1
Controversy,29,0,0,173,0,small,bigscience--bloomz-7b1-mt,4_options,P1
Fact,15,0,0,142,0,small,bigscience--bloomz-7b1-mt,4_options,P1
Fiction,20,0,0,83,0,small,bigscience--bloomz-7b1-mt,4_options,P1
Misconception,23,0,0,102,0,small,bigscience--bloomz-7b1-mt,4_options,P1
Stereotype,21,0,0,122,0,small,bigscience--bloomz-7b1-mt,4_options,P1
Conspiracy,193,0,0,263,0,small,bigscience--bloomz-7b1-mt,4_options,P2
Controversy,116,0,0,173,0,small,bigscience--bloomz-7b1-mt,4_options,P2
Fact,92,0,0,142,0,small,bigscience--bloomz-7b1-mt,4_options,P2
Fiction,65,0,0,83,0,small,bigscience--bloomz-7b1-mt,4_options,P2
Misconception,66,0,0,102,0,small,bigscience--bloomz-7b1-mt,4_options,P2
Stereotype,70,0,0,122,0,small,bigscience--bloomz-7b1-mt,4_options,P2
Conspiracy,24,0,0,263,0,small,bigscience--bloomz-7b1-mt,4_options,P3
Controversy,27,0,0,173,0,small,bigscience--bloomz-7b1-mt,4_options,P3
Fact,10,0,0,142,0,small,bigscience--bloomz-7b1-mt,4_options,P3
Fiction,12,0,0,83,0,small,bigscience--bloomz-7b1-mt,4_options,P3
Misconception,24,0,0,102,0,small,bigscience--bloomz-7b1-mt,4_options,P3
Stereotype,29,0,0,122,0,small,bigscience--bloomz-7b1-mt,4_options,P3
Conspiracy,22,0,0,263,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P1
Controversy,13,0,0,173,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P1
Fact,8,0,0,142,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P1
Fiction,3,0,0,83,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P1
Misconception,1,0,0,102,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P1
Stereotype,3,0,0,122,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P1
Conspiracy,85,0,0,263,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P2
Controversy,51,0,0,173,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P2
Fact,76,0,0,142,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P2
Fiction,12,0,0,83,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P2
Misconception,27,0,0,102,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P2
Stereotype,11,0,0,122,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P2
Conspiracy,27,0,0,263,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P3
Controversy,24,0,0,173,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P3
Fact,8,0,0,142,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P3
Fiction,5,0,0,83,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P3
Misconception,6,0,0,102,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P3
Stereotype,6,0,0,122,0,small,bigscience--bloomz-7b1-mt,4_options/option_probs,P3
Conspiracy,101,137,161,263,106,small,databricks--dolly-v2-3b,2_options,P1
Controversy,78,95,69,173,47,small,databricks--dolly-v2-3b,2_options,P1
Fact,54,78,65,142,49,small,databricks--dolly-v2-3b,2_options,P1
Fiction,34,59,34,83,30,small,databricks--dolly-v2-3b,2_options,P1
Misconception,31,56,39,102,33,small,databricks--dolly-v2-3b,2_options,P1
Stereotype,51,83,43,122,39,small,databricks--dolly-v2-3b,2_options,P1
Conspiracy,123,137,222,263,121,small,databricks--dolly-v2-3b,2_options,P2
Controversy,82,95,153,173,84,small,databricks--dolly-v2-3b,2_options,P2
Fact,72,78,105,142,58,small,databricks--dolly-v2-3b,2_options,P2
Fiction,28,59,74,83,53,small,databricks--dolly-v2-3b,2_options,P2
Misconception,46,56,92,102,52,small,databricks--dolly-v2-3b,2_options,P2
Stereotype,35,83,114,122,81,small,databricks--dolly-v2-3b,2_options,P2
Conspiracy,141,137,118,263,70,small,databricks--dolly-v2-3b,2_options,P3
Controversy,88,95,103,173,60,small,databricks--dolly-v2-3b,2_options,P3
Fact,77,78,53,142,32,small,databricks--dolly-v2-3b,2_options,P3
Fiction,39,59,46,83,35,small,databricks--dolly-v2-3b,2_options,P3
Misconception,56,56,41,102,22,small,databricks--dolly-v2-3b,2_options,P3
Stereotype,49,83,64,122,52,small,databricks--dolly-v2-3b,2_options,P3
Conspiracy,104,94,113,263,53,small,databricks--dolly-v2-3b,3_options,P1
Controversy,78,50,99,173,37,small,databricks--dolly-v2-3b,3_options,P1
Fact,62,36,74,142,24,small,databricks--dolly-v2-3b,3_options,P1
Fiction,31,29,23,83,12,small,databricks--dolly-v2-3b,3_options,P1
Misconception,40,36,48,102,22,small,databricks--dolly-v2-3b,3_options,P1
Stereotype,56,38,56,122,20,small,databricks--dolly-v2-3b,3_options,P1
Conspiracy,157,94,220,263,82,small,databricks--dolly-v2-3b,3_options,P2
Controversy,98,50,124,173,42,small,databricks--dolly-v2-3b,3_options,P2
Fact,97,36,116,142,31,small,databricks--dolly-v2-3b,3_options,P2
Fiction,53,29,63,83,23,small,databricks--dolly-v2-3b,3_options,P2
Misconception,58,36,74,102,30,small,databricks--dolly-v2-3b,3_options,P2
Stereotype,75,38,89,122,30,small,databricks--dolly-v2-3b,3_options,P2
Conspiracy,151,94,194,263,71,small,databricks--dolly-v2-3b,3_options,P3
Controversy,111,50,132,173,37,small,databricks--dolly-v2-3b,3_options,P3
Fact,94,36,102,142,24,small,databricks--dolly-v2-3b,3_options,P3
Fiction,41,29,50,83,20,small,databricks--dolly-v2-3b,3_options,P3
Misconception,54,36,70,102,28,small,databricks--dolly-v2-3b,3_options,P3
Stereotype,71,38,94,122,32,small,databricks--dolly-v2-3b,3_options,P3
Conspiracy,43,15,42,263,8,small,databricks--dolly-v2-3b,4_options,P1
Controversy,25,10,32,173,9,small,databricks--dolly-v2-3b,4_options,P1
Fact,18,11,22,142,8,small,databricks--dolly-v2-3b,4_options,P1
Fiction,5,1,5,83,1,small,databricks--dolly-v2-3b,4_options,P1
Misconception,13,1,7,102,0,small,databricks--dolly-v2-3b,4_options,P1
Stereotype,7,4,10,122,4,small,databricks--dolly-v2-3b,4_options,P1
Conspiracy,17,15,2,263,0,small,databricks--dolly-v2-3b,4_options,P2
Controversy,11,10,3,173,1,small,databricks--dolly-v2-3b,4_options,P2
Fact,12,11,4,142,2,small,databricks--dolly-v2-3b,4_options,P2
Fiction,2,1,3,83,1,small,databricks--dolly-v2-3b,4_options,P2
Misconception,5,1,2,102,0,small,databricks--dolly-v2-3b,4_options,P2
Stereotype,6,4,2,122,0,small,databricks--dolly-v2-3b,4_options,P2
Conspiracy,27,15,20,263,4,small,databricks--dolly-v2-3b,4_options,P3
Controversy,25,10,21,173,3,small,databricks--dolly-v2-3b,4_options,P3
Fact,16,11,10,142,3,small,databricks--dolly-v2-3b,4_options,P3
Fiction,3,1,4,83,1,small,databricks--dolly-v2-3b,4_options,P3
Misconception,11,1,10,102,1,small,databricks--dolly-v2-3b,4_options,P3
Stereotype,8,4,6,122,1,small,databricks--dolly-v2-3b,4_options,P3
Conspiracy,0,0,0,263,0,small,databricks--dolly-v2-3b,4_options/option_probs,P1
Controversy,0,0,0,173,0,small,databricks--dolly-v2-3b,4_options/option_probs,P1
Fact,0,0,0,142,0,small,databricks--dolly-v2-3b,4_options/option_probs,P1
Fiction,0,0,0,83,0,small,databricks--dolly-v2-3b,4_options/option_probs,P1
Misconception,0,0,0,102,0,small,databricks--dolly-v2-3b,4_options/option_probs,P1
Stereotype,0,0,0,122,0,small,databricks--dolly-v2-3b,4_options/option_probs,P1
Conspiracy,0,0,0,263,0,small,databricks--dolly-v2-3b,4_options/option_probs,P2
Controversy,0,0,0,173,0,small,databricks--dolly-v2-3b,4_options/option_probs,P2
Fact,0,0,0,142,0,small,databricks--dolly-v2-3b,4_options/option_probs,P2
Fiction,0,0,0,83,0,small,databricks--dolly-v2-3b,4_options/option_probs,P2
Misconception,0,0,0,102,0,small,databricks--dolly-v2-3b,4_options/option_probs,P2
Stereotype,0,0,0,122,0,small,databricks--dolly-v2-3b,4_options/option_probs,P2
Conspiracy,0,0,0,263,0,small,databricks--dolly-v2-3b,4_options/option_probs,P3
Controversy,0,0,0,173,0,small,databricks--dolly-v2-3b,4_options/option_probs,P3
Fact,0,0,0,142,0,small,databricks--dolly-v2-3b,4_options/option_probs,P3
Fiction,0,0,0,83,0,small,databricks--dolly-v2-3b,4_options/option_probs,P3
Misconception,0,0,0,102,0,small,databricks--dolly-v2-3b,4_options/option_probs,P3
Stereotype,0,0,0,122,0,small,databricks--dolly-v2-3b,4_options/option_probs,P3
Conspiracy,42,6,4,263,3,small,tiiuae--falcon-7b-instruct,2_options,P1
Controversy,30,15,12,173,11,small,tiiuae--falcon-7b-instruct,2_options,P1
Fact,10,9,6,142,4,small,tiiuae--falcon-7b-instruct,2_options,P1
Fiction,25,15,3,83,3,small,tiiuae--falcon-7b-instruct,2_options,P1
Misconception,24,15,17,102,11,small,tiiuae--falcon-7b-instruct,2_options,P1
Stereotype,21,37,30,122,27,small,tiiuae--falcon-7b-instruct,2_options,P1
Conspiracy,75,6,22,263,5,small,tiiuae--falcon-7b-instruct,2_options,P2
Controversy,40,15,24,173,11,small,tiiuae--falcon-7b-instruct,2_options,P2
Fact,28,9,14,142,7,small,tiiuae--falcon-7b-instruct,2_options,P2
Fiction,33,15,23,83,12,small,tiiuae--falcon-7b-instruct,2_options,P2
Misconception,35,15,21,102,8,small,tiiuae--falcon-7b-instruct,2_options,P2
Stereotype,33,37,35,122,25,small,tiiuae--falcon-7b-instruct,2_options,P2
Conspiracy,131,6,13,263,5,small,tiiuae--falcon-7b-instruct,2_options,P3
Controversy,48,15,17,173,9,small,tiiuae--falcon-7b-instruct,2_options,P3
Fact,17,9,3,142,2,small,tiiuae--falcon-7b-instruct,2_options,P3
Fiction,13,15,7,83,6,small,tiiuae--falcon-7b-instruct,2_options,P3
Misconception,35,15,9,102,6,small,tiiuae--falcon-7b-instruct,2_options,P3
Stereotype,57,37,52,122,28,small,tiiuae--falcon-7b-instruct,2_options,P3
Conspiracy,50,201,159,263,158,small,tiiuae--falcon-7b-instruct,3_options,P1
Controversy,23,149,135,173,133,small,tiiuae--falcon-7b-instruct,3_options,P1
Fact,27,105,101,142,93,small,tiiuae--falcon-7b-instruct,3_options,P1
Fiction,2,59,59,83,58,small,tiiuae--falcon-7b-instruct,3_options,P1
Misconception,10,92,82,102,82,small,tiiuae--falcon-7b-instruct,3_options,P1
Stereotype,5,119,116,122,115,small,tiiuae--falcon-7b-instruct,3_options,P1
Conspiracy,65,201,144,263,143,small,tiiuae--falcon-7b-instruct,3_options,P2
Controversy,44,149,115,173,113,small,tiiuae--falcon-7b-instruct,3_options,P2
Fact,42,105,80,142,75,small,tiiuae--falcon-7b-instruct,3_options,P2
Fiction,15,59,53,83,50,small,tiiuae--falcon-7b-instruct,3_options,P2
Misconception,15,92,81,102,79,small,tiiuae--falcon-7b-instruct,3_options,P2
Stereotype,16,119,103,122,103,small,tiiuae--falcon-7b-instruct,3_options,P2
Conspiracy,52,201,172,263,165,small,tiiuae--falcon-7b-instruct,3_options,P3
Controversy,20,149,133,173,132,small,tiiuae--falcon-7b-instruct,3_options,P3
Fact,45,105,75,142,70,small,tiiuae--falcon-7b-instruct,3_options,P3
Fiction,16,59,57,83,54,small,tiiuae--falcon-7b-instruct,3_options,P3
Misconception,13,92,88,102,84,small,tiiuae--falcon-7b-instruct,3_options,P3
Stereotype,4,119,115,122,115,small,tiiuae--falcon-7b-instruct,3_options,P3
Conspiracy,51,100,56,263,54,small,tiiuae--falcon-7b-instruct,4_options,P1
Controversy,40,63,31,173,27,small,tiiuae--falcon-7b-instruct,4_options,P1
Fact,21,33,20,142,17,small,tiiuae--falcon-7b-instruct,4_options,P1
