model_size,model,response_type,tags,flipped_count,total_count
large,Platypus2-70B-instruct,3_options,Fiction,37,46
large,Platypus2-70B-instruct,3_options,Misconception,58,102
large,Platypus2-70B-instruct,3_options,Stereotype,68,122
large,Platypus2-70B-instruct,4_options,Conspiracy,222,263
large,Platypus2-70B-instruct,4_options,Controversy,141,173
large,Platypus2-70B-instruct,4_options,Fact,115,142
large,Platypus2-70B-instruct,4_options,Fiction,38,46
large,Platypus2-70B-instruct,4_options,Misconception,83,102
large,Platypus2-70B-instruct,4_options,Stereotype,110,122
large,Platypus2-70B-instruct,4_options/option_probs,Conspiracy,208,263
large,Platypus2-70B-instruct,4_options/option_probs,Controversy,135,173
large,Platypus2-70B-instruct,4_options/option_probs,Fact,121,142
large,Platypus2-70B-instruct,4_options/option_probs,Fiction,38,46
large,Platypus2-70B-instruct,4_options/option_probs,Misconception,81,102
large,Platypus2-70B-instruct,4_options/option_probs,Stereotype,106,122
openai,gpt-3.5-turbo,2_options,Conspiracy,15,263
openai,gpt-3.5-turbo,2_options,Controversy,55,173
openai,gpt-3.5-turbo,2_options,Fact,66,142
openai,gpt-3.5-turbo,2_options,Fiction,15,46
openai,gpt-3.5-turbo,2_options,Misconception,42,102
openai,gpt-3.5-turbo,2_options,Stereotype,29,122
openai,gpt-3.5-turbo,3_options,Conspiracy,192,263
openai,gpt-3.5-turbo,3_options,Controversy,140,173
openai,gpt-3.5-turbo,3_options,Fact,39,142
openai,gpt-3.5-turbo,3_options,Fiction,39,46
openai,gpt-3.5-turbo,3_options,Misconception,56,102
openai,gpt-3.5-turbo,3_options,Stereotype,75,122
openai,gpt-3.5-turbo,4_options,Conspiracy,187,263
openai,gpt-3.5-turbo,4_options,Controversy,117,173
openai,gpt-3.5-turbo,4_options,Fact,30,142
openai,gpt-3.5-turbo,4_options,Fiction,26,46
openai,gpt-3.5-turbo,4_options,Misconception,49,102
openai,gpt-3.5-turbo,4_options,Stereotype,78,122
openai,gpt-4,2_options,Conspiracy,135,263
openai,gpt-4,2_options,Controversy,86,173
openai,gpt-4,2_options,Fact,119,142
openai,gpt-4,2_options,Fiction,40,46
openai,gpt-4,2_options,Misconception,78,102
openai,gpt-4,2_options,Stereotype,87,122
openai,gpt-4,3_options,Conspiracy,223,263
openai,gpt-4,3_options,Controversy,148,173
openai,gpt-4,3_options,Fact,96,142
openai,gpt-4,3_options,Fiction,29,46
openai,gpt-4,3_options,Misconception,78,102
openai,gpt-4,3_options,Stereotype,108,122
openai,gpt-4,4_options,Conspiracy,205,263
openai,gpt-4,4_options,Controversy,118,173
openai,gpt-4,4_options,Fact,106,142
openai,gpt-4,4_options,Fiction,36,46
openai,gpt-4,4_options,Misconception,88,102
openai,gpt-4,4_options,Stereotype,109,122
openai,gpt-4-1106-preview,2_options,Conspiracy,182,263
openai,gpt-4-1106-preview,2_options,Controversy,103,173
openai,gpt-4-1106-preview,2_options,Fact,126,142
openai,gpt-4-1106-preview,2_options,Fiction,39,46
openai,gpt-4-1106-preview,2_options,Misconception,89,102
openai,gpt-4-1106-preview,2_options,Stereotype,98,122
openai,gpt-4-1106-preview,3_options,Conspiracy,168,263
openai,gpt-4-1106-preview,3_options,Controversy,126,173
openai,gpt-4-1106-preview,3_options,Fact,102,142
openai,gpt-4-1106-preview,3_options,Fiction,25,46
openai,gpt-4-1106-preview,3_options,Misconception,40,102
openai,gpt-4-1106-preview,3_options,Stereotype,65,122
openai,gpt-4-1106-preview,4_options,Conspiracy,234,263
openai,gpt-4-1106-preview,4_options,Controversy,147,173
openai,gpt-4-1106-preview,4_options,Fact,117,142
openai,gpt-4-1106-preview,4_options,Fiction,36,46
openai,gpt-4-1106-preview,4_options,Misconception,90,102
openai,gpt-4-1106-preview,4_options,Stereotype,114,122
openai,text-davinci-003,2_options,Conspiracy,19,263
openai,text-davinci-003,2_options,Controversy,75,173
openai,text-davinci-003,2_options,Fact,115,142
openai,text-davinci-003,2_options,Fiction,8,46
openai,text-davinci-003,2_options,Misconception,36,102
openai,text-davinci-003,2_options,Stereotype,6,122
openai,text-davinci-003,3_options,Conspiracy,88,263
openai,text-davinci-003,3_options,Controversy,77,173
openai,text-davinci-003,3_options,Fact,64,142
openai,text-davinci-003,3_options,Fiction,28,46
openai,text-davinci-003,3_options,Misconception,38,102
openai,text-davinci-003,3_options,Stereotype,12,122
openai,text-davinci-003,4_options,Conspiracy,23,263
openai,text-davinci-003,4_options,Controversy,86,173
openai,text-davinci-003,4_options,Fact,138,142
openai,text-davinci-003,4_options,Fiction,21,46
openai,text-davinci-003,4_options,Misconception,43,102
openai,text-davinci-003,4_options,Stereotype,9,122
small,Mistral-7B-OpenOrca,2_options,Conspiracy,98,263
small,Mistral-7B-OpenOrca,2_options,Controversy,37,173
small,Mistral-7B-OpenOrca,2_options,Fact,6,142
small,Mistral-7B-OpenOrca,2_options,Fiction,25,46
small,Mistral-7B-OpenOrca,2_options,Misconception,51,102
small,Mistral-7B-OpenOrca,2_options,Stereotype,87,122
small,Mistral-7B-OpenOrca,3_options,Conspiracy,183,263
small,Mistral-7B-OpenOrca,3_options,Controversy,67,173
small,Mistral-7B-OpenOrca,3_options,Fact,11,142
small,Mistral-7B-OpenOrca,3_options,Fiction,16,46
small,Mistral-7B-OpenOrca,3_options,Misconception,34,102
small,Mistral-7B-OpenOrca,3_options,Stereotype,84,122
small,Mistral-7B-OpenOrca,4_options,Conspiracy,53,263
small,Mistral-7B-OpenOrca,4_options,Controversy,67,173
small,Mistral-7B-OpenOrca,4_options,Fact,92,142
small,Mistral-7B-OpenOrca,4_options,Fiction,10,46
small,Mistral-7B-OpenOrca,4_options,Misconception,35,102
small,Mistral-7B-OpenOrca,4_options,Stereotype,82,122
small,Mistral-7B-OpenOrca,4_options/option_probs,Conspiracy,53,263
small,Mistral-7B-OpenOrca,4_options/option_probs,Controversy,67,173
small,Mistral-7B-OpenOrca,4_options/option_probs,Fact,92,142
small,Mistral-7B-OpenOrca,4_options/option_probs,Fiction,10,46
small,Mistral-7B-OpenOrca,4_options/option_probs,Misconception,35,102
small,Mistral-7B-OpenOrca,4_options/option_probs,Stereotype,82,122
small,Mistral-7B-v0.1,2_options,Conspiracy,256,263
small,Mistral-7B-v0.1,2_options,Controversy,130,173
small,Mistral-7B-v0.1,2_options,Fact,31,142
small,Mistral-7B-v0.1,2_options,Fiction,46,46
small,Mistral-7B-v0.1,2_options,Misconception,92,102
small,Mistral-7B-v0.1,2_options,Stereotype,121,122
small,Mistral-7B-v0.1,3_options,Conspiracy,166,263
small,Mistral-7B-v0.1,3_options,Controversy,46,173
small,Mistral-7B-v0.1,3_options,Fact,13,142
small,Mistral-7B-v0.1,3_options,Fiction,43,46
small,Mistral-7B-v0.1,3_options,Misconception,67,102
small,Mistral-7B-v0.1,3_options,Stereotype,66,122
small,Mistral-7B-v0.1,4_options,Conspiracy,236,262
small,Mistral-7B-v0.1,4_options,Controversy,118,171
small,Mistral-7B-v0.1,4_options,Fact,60,141
small,Mistral-7B-v0.1,4_options,Fiction,41,46
small,Mistral-7B-v0.1,4_options,Misconception,53,101
small,Mistral-7B-v0.1,4_options,Stereotype,91,121
small,Mistral-7B-v0.1,4_options/option_probs,Conspiracy,237,263
small,Mistral-7B-v0.1,4_options/option_probs,Controversy,119,173
small,Mistral-7B-v0.1,4_options/option_probs,Fact,60,142
small,Mistral-7B-v0.1,4_options/option_probs,Fiction,41,46
small,Mistral-7B-v0.1,4_options/option_probs,Misconception,54,102
small,Mistral-7B-v0.1,4_options/option_probs,Stereotype,91,122
small,zephyr-7b-alpha,2_options,Conspiracy,8,263
small,zephyr-7b-alpha,2_options,Controversy,50,173
small,zephyr-7b-alpha,2_options,Fact,118,142
small,zephyr-7b-alpha,2_options,Fiction,2,46
small,zephyr-7b-alpha,2_options,Misconception,13,102
small,zephyr-7b-alpha,2_options,Stereotype,9,121
small,zephyr-7b-alpha,3_options,Conspiracy,263,263
small,zephyr-7b-alpha,3_options,Controversy,166,173
small,zephyr-7b-alpha,3_options,Fact,106,139
small,zephyr-7b-alpha,3_options,Fiction,46,46
small,zephyr-7b-alpha,3_options,Misconception,101,102
small,zephyr-7b-alpha,3_options,Stereotype,122,122
small,zephyr-7b-alpha,4_options,Conspiracy,6,263
small,zephyr-7b-alpha,4_options,Controversy,47,173
small,zephyr-7b-alpha,4_options,Fact,120,142
small,zephyr-7b-alpha,4_options,Fiction,3,46
small,zephyr-7b-alpha,4_options,Misconception,10,102
small,zephyr-7b-alpha,4_options,Stereotype,2,122
small,zephyr-7b-alpha,4_options/option_probs,Conspiracy,25,263
small,zephyr-7b-alpha,4_options/option_probs,Controversy,77,173
small,zephyr-7b-alpha,4_options/option_probs,Fact,122,142
small,zephyr-7b-alpha,4_options/option_probs,Fiction,10,46
small,zephyr-7b-alpha,4_options/option_probs,Misconception,24,102
small,zephyr-7b-alpha,4_options/option_probs,Stereotype,11,122
