Conspiracy,Controversy,Fact,Fiction,Misconception,Stereotype,total_response,total_conflict,total_yes_no,other_response,bad_output,prompt_type,response_type,model,model_size
207.0,35.0,0.0,55.0,75.0,78.0,762,450,580,18,164,P1,4_options,tiiuae--falcon-7b-instruct,small
228.0,33.0,0.0,56.0,86.0,89.0,762,492,640,7,115,P2,4_options,tiiuae--falcon-7b-instruct,small
205.0,31.0,0.0,32.0,90.0,112.0,725,470,594,0,131,P3,4_options,tiiuae--falcon-7b-instruct,small
0.0,7.0,118.0,0.0,0.0,0.0,725,125,584,0,141,P4,4_options,tiiuae--falcon-7b-instruct,small
239.0,42.0,0.0,39.0,93.0,121.0,725,534,668,57,0,P0,4_options/option_probs,tiiuae--falcon-7b-instruct,small
236.0,40.0,0.0,76.0,89.0,121.0,762,562,691,71,0,P1,4_options/option_probs,tiiuae--falcon-7b-instruct,small
230.0,41.0,0.0,62.0,81.0,113.0,762,527,658,104,0,P2,4_options/option_probs,tiiuae--falcon-7b-instruct,small
257.0,43.0,0.0,44.0,97.0,122.0,725,563,706,19,0,P3,4_options/option_probs,tiiuae--falcon-7b-instruct,small
1.0,7.0,136.0,0.0,1.0,0.0,725,145,703,22,0,P4,4_options/option_probs,tiiuae--falcon-7b-instruct,small
25.0,22.0,7.0,14.0,36.0,12.0,725,116,725,0,0,P0,2_options,Open-Orca--Mistral-7B-OpenOrca,small
39.0,22.0,6.0,10.0,37.0,14.0,762,128,762,0,0,P1,2_options,Open-Orca--Mistral-7B-OpenOrca,small
16.0,18.0,9.0,26.0,31.0,7.0,762,107,762,0,0,P2,2_options,Open-Orca--Mistral-7B-OpenOrca,small
36.0,24.0,5.0,19.0,34.0,13.0,725,131,725,0,0,P3,2_options,Open-Orca--Mistral-7B-OpenOrca,small
137.0,18.0,139.0,2.0,23.0,24.0,725,343,725,0,0,P4,2_options,Open-Orca--Mistral-7B-OpenOrca,small
7.0,14.0,6.0,7.0,29.0,1.0,725,64,282,443,0,P0,3_options,Open-Orca--Mistral-7B-OpenOrca,small
10.0,13.0,6.0,3.0,27.0,2.0,762,61,285,477,0,P1,3_options,Open-Orca--Mistral-7B-OpenOrca,small
3.0,10.0,5.0,9.0,21.0,0.0,762,48,245,517,0,P2,3_options,Open-Orca--Mistral-7B-OpenOrca,small
5.0,11.0,9.0,7.0,20.0,1.0,725,53,292,433,0,P3,3_options,Open-Orca--Mistral-7B-OpenOrca,small
50.0,14.0,125.0,11.0,43.0,13.0,725,256,434,291,0,P4,3_options,Open-Orca--Mistral-7B-OpenOrca,small
5.0,8.0,9.0,3.0,18.0,0.0,725,43,471,254,0,P0,4_options,Open-Orca--Mistral-7B-OpenOrca,small
9.0,6.0,6.0,0.0,17.0,0.0,762,38,480,282,0,P1,4_options,Open-Orca--Mistral-7B-OpenOrca,small
0.0,3.0,3.0,2.0,4.0,0.0,762,12,289,473,0,P2,4_options,Open-Orca--Mistral-7B-OpenOrca,small
2.0,7.0,4.0,4.0,16.0,0.0,725,33,415,310,0,P3,4_options,Open-Orca--Mistral-7B-OpenOrca,small
202.0,35.0,27.0,34.0,62.0,33.0,725,393,601,124,0,P4,4_options,Open-Orca--Mistral-7B-OpenOrca,small
5.0,8.0,9.0,3.0,18.0,0.0,725,43,471,254,0,P0,4_options/option_probs,Open-Orca--Mistral-7B-OpenOrca,small
9.0,6.0,6.0,0.0,17.0,0.0,762,38,480,282,0,P1,4_options/option_probs,Open-Orca--Mistral-7B-OpenOrca,small
0.0,3.0,3.0,2.0,4.0,0.0,762,12,289,473,0,P2,4_options/option_probs,Open-Orca--Mistral-7B-OpenOrca,small
2.0,7.0,4.0,4.0,16.0,0.0,725,33,415,310,0,P3,4_options/option_probs,Open-Orca--Mistral-7B-OpenOrca,small
202.0,35.0,27.0,34.0,62.0,33.0,725,393,601,124,0,P4,4_options/option_probs,Open-Orca--Mistral-7B-OpenOrca,small
17.0,16.0,34.0,32.0,64.0,0.0,725,163,531,0,194,P0,2_options,meta-llama--Llama-2-7b-chat-hf,small
15.0,14.0,33.0,46.0,58.0,0.0,762,166,572,0,190,P1,2_options,meta-llama--Llama-2-7b-chat-hf,small
7.0,9.0,48.0,29.0,35.0,0.0,762,128,586,0,176,P2,2_options,meta-llama--Llama-2-7b-chat-hf,small
14.0,17.0,30.0,29.0,53.0,0.0,725,143,478,0,247,P3,2_options,meta-llama--Llama-2-7b-chat-hf,small
197.0,35.0,7.0,38.0,87.0,31.0,725,395,545,0,180,P4,2_options,meta-llama--Llama-2-7b-chat-hf,small
48.0,19.0,6.0,38.0,63.0,1.0,725,175,316,209,200,P0,3_options,meta-llama--Llama-2-7b-chat-hf,small
24.0,13.0,5.0,46.0,50.0,,762,138,260,309,193,P1,3_options,meta-llama--Llama-2-7b-chat-hf,small
,5.0,0.0,8.0,6.0,,762,19,56,530,176,P2,3_options,meta-llama--Llama-2-7b-chat-hf,small
29.0,20.0,0.0,37.0,63.0,1.0,725,150,274,215,236,P3,3_options,meta-llama--Llama-2-7b-chat-hf,small
1.0,1.0,1.0,0.0,0.0,,725,3,6,560,159,P4,3_options,meta-llama--Llama-2-7b-chat-hf,small
136.0,34.0,2.0,46.0,96.0,20.0,725,334,468,48,209,P0,4_options,meta-llama--Llama-2-7b-chat-hf,small
161.0,35.0,2.0,83.0,97.0,20.0,762,398,535,19,208,P1,4_options,meta-llama--Llama-2-7b-chat-hf,small
139.0,31.0,0.0,81.0,87.0,17.0,762,355,510,36,216,P2,4_options,meta-llama--Llama-2-7b-chat-hf,small
157.0,35.0,0.0,45.0,98.0,14.0,725,349,488,19,218,P3,4_options,meta-llama--Llama-2-7b-chat-hf,small
28.0,10.0,91.0,10.0,16.0,1.0,725,156,530,14,181,P4,4_options,meta-llama--Llama-2-7b-chat-hf,small
263.0,43.0,0.0,46.0,102.0,121.0,725,575,724,1,0,P0,4_options/option_probs,meta-llama--Llama-2-7b-chat-hf,small
263.0,43.0,0.0,83.0,102.0,119.0,762,610,759,3,0,P1,4_options/option_probs,meta-llama--Llama-2-7b-chat-hf,small
263.0,43.0,0.0,83.0,102.0,122.0,762,613,762,0,0,P2,4_options/option_probs,meta-llama--Llama-2-7b-chat-hf,small
263.0,43.0,0.0,46.0,102.0,110.0,725,564,713,12,0,P3,4_options/option_probs,meta-llama--Llama-2-7b-chat-hf,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,4_options/option_probs,meta-llama--Llama-2-7b-chat-hf,small
44.0,23.0,42.0,39.0,62.0,8.0,725,218,725,0,0,P0,2_options,EleutherAI--gpt-j-6b,small
14.0,19.0,77.0,57.0,29.0,3.0,762,199,762,0,0,P1,2_options,EleutherAI--gpt-j-6b,small
19.0,15.0,77.0,56.0,19.0,6.0,762,192,762,0,0,P2,2_options,EleutherAI--gpt-j-6b,small
36.0,19.0,69.0,35.0,42.0,9.0,725,210,725,0,0,P3,2_options,EleutherAI--gpt-j-6b,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,2_options,EleutherAI--gpt-j-6b,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,720,5,0,P0,3_options,EleutherAI--gpt-j-6b,small
0.0,7.0,142.0,0.0,0.0,0.0,762,149,759,3,0,P1,3_options,EleutherAI--gpt-j-6b,small
0.0,7.0,142.0,0.0,0.0,0.0,762,149,753,9,0,P2,3_options,EleutherAI--gpt-j-6b,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,709,16,0,P3,3_options,EleutherAI--gpt-j-6b,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,699,26,0,P4,3_options,EleutherAI--gpt-j-6b,small
0.0,0.0,1.0,,,0.0,725,1,5,5,715,P0,4_options,EleutherAI--gpt-j-6b,small
0.0,0.0,2.0,,0.0,0.0,762,2,8,2,752,P1,4_options,EleutherAI--gpt-j-6b,small
1.0,1.0,1.0,,1.0,0.0,762,4,9,0,753,P2,4_options,EleutherAI--gpt-j-6b,small
1.0,0.0,1.0,,1.0,0.0,725,3,8,0,717,P3,4_options,EleutherAI--gpt-j-6b,small
0.0,0.0,2.0,,0.0,0.0,725,2,9,0,716,P4,4_options,EleutherAI--gpt-j-6b,small
0.0,7.0,134.0,0.0,0.0,0.0,725,141,670,55,0,P0,4_options/option_probs,EleutherAI--gpt-j-6b,small
1.0,7.0,135.0,2.0,0.0,0.0,762,145,748,14,0,P1,4_options/option_probs,EleutherAI--gpt-j-6b,small
1.0,6.0,114.0,3.0,1.0,0.0,762,125,586,176,0,P2,4_options/option_probs,EleutherAI--gpt-j-6b,small
1.0,8.0,129.0,3.0,4.0,0.0,725,145,715,10,0,P3,4_options/option_probs,EleutherAI--gpt-j-6b,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,4_options/option_probs,EleutherAI--gpt-j-6b,small
3.0,12.0,62.0,1.0,5.0,0.0,725,83,725,0,0,P0,2_options,meta-llama--Llama-2-7b-hf,small
3.0,11.0,59.0,3.0,5.0,0.0,762,81,762,0,0,P1,2_options,meta-llama--Llama-2-7b-hf,small
3.0,10.0,65.0,4.0,3.0,0.0,762,85,762,0,0,P2,2_options,meta-llama--Llama-2-7b-hf,small
1.0,9.0,65.0,0.0,7.0,0.0,725,82,725,0,0,P3,2_options,meta-llama--Llama-2-7b-hf,small
3.0,8.0,142.0,5.0,4.0,1.0,725,163,725,0,0,P4,2_options,meta-llama--Llama-2-7b-hf,small
2.0,3.0,65.0,0.0,3.0,0.0,725,73,550,175,0,P0,3_options,meta-llama--Llama-2-7b-hf,small
2.0,2.0,51.0,0.0,2.0,0.0,762,57,545,217,0,P1,3_options,meta-llama--Llama-2-7b-hf,small
3.0,2.0,68.0,0.0,3.0,0.0,762,76,619,143,0,P2,3_options,meta-llama--Llama-2-7b-hf,small
2.0,6.0,78.0,0.0,2.0,0.0,725,88,679,46,0,P3,3_options,meta-llama--Llama-2-7b-hf,small
110.0,26.0,120.0,36.0,67.0,26.0,725,385,608,117,0,P4,3_options,meta-llama--Llama-2-7b-hf,small
,,,,,,725,0,0,0,725,P0,4_options,meta-llama--Llama-2-7b-hf,small
,,,,,,762,0,0,0,762,P1,4_options,meta-llama--Llama-2-7b-hf,small
,,,,,,762,0,0,0,762,P2,4_options,meta-llama--Llama-2-7b-hf,small
,,,,,,725,0,0,0,725,P3,4_options,meta-llama--Llama-2-7b-hf,small
,,,,,,725,0,0,0,725,P4,4_options,meta-llama--Llama-2-7b-hf,small
10.0,5.0,39.0,0.0,28.0,0.0,725,82,337,388,0,P0,4_options/option_probs,meta-llama--Llama-2-7b-hf,small
7.0,6.0,35.0,5.0,25.0,0.0,762,78,264,498,0,P1,4_options/option_probs,meta-llama--Llama-2-7b-hf,small
21.0,8.0,0.0,28.0,50.0,1.0,762,108,180,582,0,P2,4_options/option_probs,meta-llama--Llama-2-7b-hf,small
3.0,6.0,68.0,2.0,15.0,0.0,725,94,517,208,0,P3,4_options/option_probs,meta-llama--Llama-2-7b-hf,small
2.0,8.0,141.0,5.0,1.0,0.0,725,157,714,11,0,P4,4_options/option_probs,meta-llama--Llama-2-7b-hf,small
12.0,9.0,22.0,0.0,14.0,2.0,725,59,725,0,0,P0,2_options,mistralai--Mistral-7B-v0.1,small
9.0,9.0,35.0,0.0,9.0,1.0,762,63,762,0,0,P1,2_options,mistralai--Mistral-7B-v0.1,small
5.0,7.0,38.0,0.0,7.0,1.0,762,58,762,0,0,P2,2_options,mistralai--Mistral-7B-v0.1,small
7.0,8.0,32.0,0.0,8.0,1.0,725,56,725,0,0,P3,2_options,mistralai--Mistral-7B-v0.1,small
0.0,7.0,141.0,0.0,2.0,0.0,725,150,725,0,0,P4,2_options,mistralai--Mistral-7B-v0.1,small
6.0,6.0,18.0,0.0,15.0,1.0,725,46,607,118,0,P0,3_options,mistralai--Mistral-7B-v0.1,small
8.0,8.0,12.0,0.0,12.0,1.0,762,41,617,145,0,P1,3_options,mistralai--Mistral-7B-v0.1,small
3.0,4.0,6.0,1.0,8.0,0.0,762,22,509,253,0,P2,3_options,mistralai--Mistral-7B-v0.1,small
6.0,5.0,4.0,0.0,15.0,0.0,725,30,514,211,0,P3,3_options,mistralai--Mistral-7B-v0.1,small
4.0,7.0,132.0,1.0,6.0,0.0,725,150,718,7,0,P4,3_options,mistralai--Mistral-7B-v0.1,small
9.0,8.0,51.0,0.0,4.0,0.0,725,72,709,16,0,P0,4_options,mistralai--Mistral-7B-v0.1,small
6.0,8.0,52.0,0.0,4.0,0.0,762,70,743,17,2,P1,4_options,mistralai--Mistral-7B-v0.1,small
1.0,6.0,60.0,0.0,4.0,0.0,762,71,700,15,47,P2,4_options,mistralai--Mistral-7B-v0.1,small
3.0,8.0,66.0,0.0,3.0,0.0,725,80,706,16,3,P3,4_options,mistralai--Mistral-7B-v0.1,small
20.0,13.0,133.0,5.0,45.0,24.0,725,240,716,5,4,P4,4_options,mistralai--Mistral-7B-v0.1,small
9.0,8.0,51.0,0.0,4.0,0.0,725,72,709,16,0,P0,4_options/option_probs,mistralai--Mistral-7B-v0.1,small
6.0,8.0,52.0,0.0,4.0,0.0,762,70,745,17,0,P1,4_options/option_probs,mistralai--Mistral-7B-v0.1,small
1.0,7.0,71.0,0.0,4.0,0.0,762,83,741,21,0,P2,4_options/option_probs,mistralai--Mistral-7B-v0.1,small
3.0,8.0,66.0,0.0,3.0,0.0,725,80,709,16,0,P3,4_options/option_probs,mistralai--Mistral-7B-v0.1,small
20.0,14.0,134.0,5.0,45.0,24.0,725,242,720,5,0,P4,4_options/option_probs,mistralai--Mistral-7B-v0.1,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P0,2_options,EleutherAI--gpt-neo-2.7B,small
0.0,7.0,142.0,0.0,0.0,0.0,762,149,762,0,0,P1,2_options,EleutherAI--gpt-neo-2.7B,small
0.0,7.0,142.0,0.0,0.0,0.0,762,149,762,0,0,P2,2_options,EleutherAI--gpt-neo-2.7B,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P3,2_options,EleutherAI--gpt-neo-2.7B,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,2_options,EleutherAI--gpt-neo-2.7B,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P0,3_options,EleutherAI--gpt-neo-2.7B,small
0.0,7.0,142.0,0.0,0.0,0.0,762,149,762,0,0,P1,3_options,EleutherAI--gpt-neo-2.7B,small
0.0,7.0,142.0,0.0,0.0,0.0,762,149,762,0,0,P2,3_options,EleutherAI--gpt-neo-2.7B,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P3,3_options,EleutherAI--gpt-neo-2.7B,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,724,1,0,P4,3_options,EleutherAI--gpt-neo-2.7B,small
,,,,,,725,0,0,0,725,P0,4_options,EleutherAI--gpt-neo-2.7B,small
,,,,,,762,0,0,0,762,P1,4_options,EleutherAI--gpt-neo-2.7B,small
,,,,,,762,0,0,0,762,P2,4_options,EleutherAI--gpt-neo-2.7B,small
,,,,,,725,0,0,0,725,P3,4_options,EleutherAI--gpt-neo-2.7B,small
,,,,,,725,0,0,0,725,P4,4_options,EleutherAI--gpt-neo-2.7B,small
,,,,,,725,0,0,725,0,P0,4_options/option_probs,EleutherAI--gpt-neo-2.7B,small
,,,,,,762,0,0,762,0,P1,4_options/option_probs,EleutherAI--gpt-neo-2.7B,small
,,,,,,762,0,0,762,0,P2,4_options/option_probs,EleutherAI--gpt-neo-2.7B,small
,,,,,,725,0,0,725,0,P3,4_options/option_probs,EleutherAI--gpt-neo-2.7B,small
,,,,,,725,0,0,725,0,P4,4_options/option_probs,EleutherAI--gpt-neo-2.7B,small
252.0,40.0,1.0,44.0,90.0,100.0,725,527,690,0,35,P0,2_options,PygmalionAI--pygmalion-6b,small
255.0,40.0,0.0,73.0,95.0,97.0,762,560,715,0,47,P1,2_options,PygmalionAI--pygmalion-6b,small
252.0,39.0,0.0,78.0,94.0,96.0,762,559,708,0,54,P2,2_options,PygmalionAI--pygmalion-6b,small
259.0,41.0,0.0,44.0,98.0,100.0,725,542,691,0,34,P3,2_options,PygmalionAI--pygmalion-6b,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,711,0,14,P4,2_options,PygmalionAI--pygmalion-6b,small
178.0,33.0,2.0,35.0,54.0,24.0,725,326,444,232,49,P0,3_options,PygmalionAI--pygmalion-6b,small
138.0,23.0,0.0,49.0,44.0,19.0,762,273,366,340,56,P1,3_options,PygmalionAI--pygmalion-6b,small
115.0,20.0,0.0,33.0,32.0,14.0,762,214,293,397,72,P2,3_options,PygmalionAI--pygmalion-6b,small
