model_name,response_type,prompt_type,num_rows,proper_response,not_proper_response,proper_response_percent,not_proper_response_precent,new_response_counts,new_response_counts_normalized
text-davinci-003,2_options,2,885,885,0,100.0,0.0,"{'NO': 632, 'YES': 253}","{'NO': 71.41, 'YES': 28.59}"
text-davinci-003,2_options,3,885,885,0,100.0,0.0,"{'NO': 591, 'YES': 294}","{'NO': 66.78, 'YES': 33.22}"
text-davinci-003,2_options,4,885,885,0,100.0,0.0,"{'NO': 863, 'YES': 22}","{'NO': 97.51, 'YES': 2.49}"
text-davinci-003,3_options,0,885,885,0,100.0,0.0,"{'No': 451, 'Neither': 250, 'Yes': 184}","{'No': 50.96, 'Neither': 28.25, 'Yes': 20.79}"
text-davinci-003,3_options,1,885,885,0,100.0,0.0,"{'No': 483, 'Neither': 252, 'Yes': 150}","{'No': 54.58, 'Neither': 28.47, 'Yes': 16.95}"
text-davinci-003,3_options,2,885,885,0,100.0,0.0,"{'Neither': 600, 'No': 168, 'Yes': 117}","{'Neither': 67.8, 'No': 18.98, 'Yes': 13.22}"
text-davinci-003,3_options,3,885,885,0,100.0,0.0,"{'No': 360, 'Neither': 340, 'Yes': 185}","{'No': 40.68, 'Neither': 38.42, 'Yes': 20.9}"
text-davinci-003,3_options,4,885,885,0,100.0,0.0,"{'No': 540, 'Neither': 340, 'Yes': 5}","{'No': 61.02, 'Neither': 38.42, 'Yes': 0.56}"
text-davinci-003,4_options,0,885,885,0,100.0,0.0,"{'B': 398, 'A': 392, 'C': 69, 'D': 26}","{'B': 44.97, 'A': 44.29, 'C': 7.8, 'D': 2.94}"
text-davinci-003,4_options,1,885,885,0,100.0,0.0,"{'B': 434, 'A': 308, 'C': 139, 'D': 4}","{'B': 49.04, 'A': 34.8, 'C': 15.71, 'D': 0.45}"
text-davinci-003,4_options,2,885,885,0,100.0,0.0,"{'C': 643, 'A': 123, 'B': 61, 'D': 58}","{'C': 72.66, 'A': 13.9, 'B': 6.89, 'D': 6.55}"
text-davinci-003,4_options,3,885,885,0,100.0,0.0,"{'B': 382, 'A': 346, 'C': 134, 'D': 23}","{'B': 43.16, 'A': 39.1, 'C': 15.14, 'D': 2.6}"
text-davinci-003,4_options,4,885,885,0,100.0,0.0,"{'B': 878, 'C': 5, 'A': 2}","{'B': 99.21, 'C': 0.56, 'A': 0.23}"
text-davinci-003,4_options/randomized,0,885,885,0,100.0,0.0,"{'B': 422, 'A': 360, 'C': 97, 'D': 6}","{'B': 47.68, 'A': 40.68, 'C': 10.96, 'D': 0.68}"
text-davinci-003,4_options/randomized,1,885,885,0,100.0,0.0,"{'B': 424, 'A': 275, 'C': 184, 'D': 2}","{'B': 47.91, 'A': 31.07, 'C': 20.79, 'D': 0.23}"
text-davinci-003,4_options/randomized,2,885,885,0,100.0,0.0,"{'C': 479, 'B': 185, 'A': 154, 'D': 67}","{'C': 54.12, 'B': 20.9, 'A': 17.4, 'D': 7.57}"
text-davinci-003,4_options/randomized,3,885,885,0,100.0,0.0,"{'A': 382, 'B': 303, 'C': 159, 'D': 41}","{'A': 43.16, 'B': 34.24, 'C': 17.97, 'D': 4.63}"
text-davinci-003,4_options/randomized,4,885,885,0,100.0,0.0,"{'B': 856, 'C': 25, 'A': 4}","{'B': 96.72, 'C': 2.82, 'A': 0.45}"
gpt-3.5-turbo,2_options,0,885,885,0,100.0,0.0,"{'NO': 595, 'YES': 290}","{'NO': 67.23, 'YES': 32.77}"
gpt-3.5-turbo,2_options,1,885,885,0,100.0,0.0,"{'NO': 620, 'YES': 265}","{'NO': 70.06, 'YES': 29.94}"
gpt-3.5-turbo,2_options,2,885,885,0,100.0,0.0,"{'NO': 664, 'YES': 221}","{'NO': 75.03, 'YES': 24.97}"
gpt-3.5-turbo,2_options,3,885,885,0,100.0,0.0,"{'NO': 571, 'YES': 314}","{'NO': 64.52, 'YES': 35.48}"
gpt-3.5-turbo,2_options,4,885,885,0,100.0,0.0,"{'NO': 678, 'YES': 207}","{'NO': 76.61, 'YES': 23.39}"
gpt-3.5-turbo,3_options,0,885,885,0,100.0,0.0,"{'Neither': 407, 'No': 266, 'Yes': 212}","{'Neither': 45.99, 'No': 30.06, 'Yes': 23.95}"
gpt-3.5-turbo,3_options,1,885,885,0,100.0,0.0,"{'Neither': 338, 'No': 319, 'Yes': 228}","{'Neither': 38.19, 'No': 36.05, 'Yes': 25.76}"
gpt-3.5-turbo,3_options,2,885,885,0,100.0,0.0,"{'Neither': 555, 'No': 189, 'Yes': 141}","{'Neither': 62.71, 'No': 21.36, 'Yes': 15.93}"
gpt-3.5-turbo,3_options,3,885,885,0,100.0,0.0,"{'Neither': 577, 'Yes': 183, 'No': 125}","{'Neither': 65.2, 'Yes': 20.68, 'No': 14.12}"
gpt-3.5-turbo,3_options,4,885,885,0,100.0,0.0,"{'Neither': 573, 'No': 205, 'Yes': 107}","{'Neither': 64.75, 'No': 23.16, 'Yes': 12.09}"
gpt-3.5-turbo,4_options,0,885,885,0,100.0,0.0,"{'C': 429, 'A': 247, 'B': 207, 'D': 2}","{'C': 48.47, 'A': 27.91, 'B': 23.39, 'D': 0.23}"
gpt-3.5-turbo,4_options,1,885,885,0,100.0,0.0,"{'C': 506, 'B': 192, 'A': 186, 'D': 1}","{'C': 57.18, 'B': 21.69, 'A': 21.02, 'D': 0.11}"
gpt-3.5-turbo,4_options,2,885,885,0,100.0,0.0,"{'C': 639, 'B': 128, 'A': 111, 'D': 7}","{'C': 72.2, 'B': 14.46, 'A': 12.54, 'D': 0.79}"
gpt-3.5-turbo,4_options,3,885,885,0,100.0,0.0,"{'C': 541, 'A': 192, 'B': 151, 'D': 1}","{'C': 61.13, 'A': 21.69, 'B': 17.06, 'D': 0.11}"
gpt-3.5-turbo,4_options,4,885,885,0,100.0,0.0,"{'C': 613, 'A': 179, 'B': 93}","{'C': 69.27, 'A': 20.23, 'B': 10.51}"
gpt-3.5-turbo,4_options/randomized,0,885,885,0,100.0,0.0,"{'C': 377, 'B': 268, 'A': 240}","{'C': 42.6, 'B': 30.28, 'A': 27.12}"
gpt-3.5-turbo,4_options/randomized,1,885,885,0,100.0,0.0,"{'C': 463, 'B': 231, 'A': 191}","{'C': 52.32, 'B': 26.1, 'A': 21.58}"
gpt-3.5-turbo,4_options/randomized,2,885,885,0,100.0,0.0,"{'C': 569, 'B': 183, 'A': 124, 'D': 9}","{'C': 64.29, 'B': 20.68, 'A': 14.01, 'D': 1.02}"
gpt-3.5-turbo,4_options/randomized,3,885,885,0,100.0,0.0,"{'C': 487, 'A': 240, 'B': 151, 'D': 7}","{'C': 55.03, 'A': 27.12, 'B': 17.06, 'D': 0.79}"
gpt-3.5-turbo,4_options/randomized,4,885,885,0,100.0,0.0,"{'C': 508, 'B': 214, 'A': 161, 'D': 2}","{'C': 57.4, 'B': 24.18, 'A': 18.19, 'D': 0.23}"
gpt-4,2_options,0,885,885,0,100.0,0.0,"{'NO': 609, 'YES': 276}","{'NO': 68.81, 'YES': 31.19}"
gpt-4,2_options,1,885,885,0,100.0,0.0,"{'NO': 642, 'YES': 243}","{'NO': 72.54, 'YES': 27.46}"
gpt-4,2_options,2,885,885,0,100.0,0.0,"{'NO': 622, 'YES': 263}","{'NO': 70.28, 'YES': 29.72}"
gpt-4,2_options,3,885,885,0,100.0,0.0,"{'NO': 638, 'YES': 247}","{'NO': 72.09, 'YES': 27.91}"
gpt-4,2_options,4,885,885,0,100.0,0.0,"{'NO': 512, 'YES': 373}","{'NO': 57.85, 'YES': 42.15}"
gpt-4,3_options,0,885,885,0,100.0,0.0,"{'No': 416, 'Yes': 252, 'Neither': 217}","{'No': 47.01, 'Yes': 28.47, 'Neither': 24.52}"
gpt-4,3_options,1,885,885,0,100.0,0.0,"{'No': 514, 'Yes': 232, 'Neither': 139}","{'No': 58.08, 'Yes': 26.21, 'Neither': 15.71}"
gpt-4,3_options,2,885,885,0,100.0,0.0,"{'No': 382, 'Neither': 322, 'Yes': 181}","{'No': 43.16, 'Neither': 36.38, 'Yes': 20.45}"
gpt-4,3_options,3,885,885,0,100.0,0.0,"{'Neither': 454, 'No': 266, 'Yes': 165}","{'Neither': 51.3, 'No': 30.06, 'Yes': 18.64}"
gpt-4,3_options,4,885,885,0,100.0,0.0,"{'Neither': 552, 'Yes': 229, 'No': 104}","{'Neither': 62.37, 'Yes': 25.88, 'No': 11.75}"
gpt-4,4_options,0,885,885,0,100.0,0.0,"{'B': 445, 'A': 233, 'C': 207}","{'B': 50.28, 'A': 26.33, 'C': 23.39}"
gpt-4,4_options,1,885,885,0,100.0,0.0,"{'B': 484, 'C': 201, 'A': 200}","{'B': 54.69, 'C': 22.71, 'A': 22.6}"
gpt-4,4_options,2,885,885,0,100.0,0.0,"{'B': 437, 'C': 282, 'A': 165, 'D': 1}","{'B': 49.38, 'C': 31.86, 'A': 18.64, 'D': 0.11}"
gpt-4,4_options,3,885,885,0,100.0,0.0,"{'B': 440, 'A': 230, 'C': 214, 'D': 1}","{'B': 49.72, 'A': 25.99, 'C': 24.18, 'D': 0.11}"
gpt-4,4_options,4,885,885,0,100.0,0.0,"{'A': 435, 'C': 285, 'B': 165}","{'A': 49.15, 'C': 32.2, 'B': 18.64}"
gpt-4,4_options/randomized,0,885,885,0,100.0,0.0,"{'B': 463, 'A': 251, 'C': 171}","{'B': 52.32, 'A': 28.36, 'C': 19.32}"
gpt-4,4_options/randomized,1,885,885,0,100.0,0.0,"{'B': 496, 'A': 207, 'C': 182}","{'B': 56.05, 'A': 23.39, 'C': 20.56}"
gpt-4,4_options/randomized,2,885,885,0,100.0,0.0,"{'B': 452, 'C': 224, 'A': 208, 'D': 1}","{'B': 51.07, 'C': 25.31, 'A': 23.5, 'D': 0.11}"
gpt-4,4_options/randomized,3,885,885,0,100.0,0.0,"{'B': 462, 'A': 266, 'C': 148, 'D': 9}","{'B': 52.2, 'A': 30.06, 'C': 16.72, 'D': 1.02}"
gpt-4,4_options/randomized,4,885,885,0,100.0,0.0,"{'A': 584, 'C': 162, 'B': 138, 'D': 1}","{'A': 65.99, 'C': 18.31, 'B': 15.59, 'D': 0.11}"
