model_name,response_type,prompt_type,num_rows,proper_response,not_proper_response,proper_response_percent,not_proper_response_precent,new_response_counts,new_response_counts_normalized
h2oai--h2ogpt-oig-oasst1-512-6_9b,,,26550,26344,206,99.22410546139359,0.775894538606403,"{'A': 11072, 'Neither': 4139, 'Yes': 3532, 'C': 2255, 'D': 2226, 'B': 2147, 'No': 973, 'Bad Output': 206}","{'A': 41.7, 'Neither': 15.59, 'Yes': 13.3, 'C': 8.49, 'D': 8.38, 'B': 8.09, 'No': 3.66, 'Bad Output': 0.78}"
mosaicml--mpt-7b-instruct,,,26550,20805,5745,78.36158192090396,21.638418079096045,"{'A': 15049, 'Bad Output': 5745, 'Yes': 1983, 'No': 1527, 'B': 1242, 'C': 884, 'D': 86, 'Neither': 34}","{'A': 56.68, 'Bad Output': 21.64, 'Yes': 7.47, 'No': 5.75, 'B': 4.68, 'C': 3.33, 'D': 0.32, 'Neither': 0.13}"
facebook--opt-iml-max-1.3b,,,26550,26499,51,99.80790960451978,0.192090395480226,"{'A': 11490, 'No': 5825, 'B': 3389, 'Yes': 3005, 'C': 1398, 'D': 1373, 'Bad Output': 51, 'Neither': 19}","{'A': 43.28, 'No': 21.94, 'B': 12.76, 'Yes': 11.32, 'C': 5.27, 'D': 5.17, 'Bad Output': 0.19, 'Neither': 0.07}"
PygmalionAI--pygmalion-6b,,,26550,17126,9424,64.50470809792844,35.495291902071564,"{'Bad Output': 9424, 'Yes': 6830, 'A': 5536, 'Neither': 1367, 'B': 1263, 'C': 1233, 'D': 825, 'No': 72}","{'Bad Output': 35.5, 'Yes': 25.73, 'A': 20.85, 'Neither': 5.15, 'B': 4.76, 'C': 4.64, 'D': 3.11, 'No': 0.27}"
mistralai--Mistral-7B-v0.1,,,26550,26469,81,99.69491525423729,0.3050847457627119,"{'B': 11438, 'No': 4758, 'A': 4627, 'Yes': 3078, 'Neither': 1014, 'C': 904, 'D': 650, 'Bad Output': 81}","{'B': 43.08, 'No': 17.92, 'A': 17.43, 'Yes': 11.59, 'Neither': 3.82, 'C': 3.4, 'D': 2.45, 'Bad Output': 0.31}"
meta-llama--Llama-2-7b-hf,,,26550,17700,8850,66.66666666666667,33.333333333333336,"{'Bad Output': 8850, 'No': 5979, 'C': 3153, 'A': 2809, 'Yes': 2069, 'B': 2052, 'D': 836, 'Neither': 802}","{'Bad Output': 33.33, 'No': 22.52, 'C': 11.88, 'A': 10.58, 'Yes': 7.79, 'B': 7.73, 'D': 3.15, 'Neither': 3.02}"
tiiuae--falcon-7b,,,26550,26547,3,99.98870056497175,0.011299435028248588,"{'A': 11812, 'Neither': 4408, 'No': 3499, 'C': 2216, 'B': 1909, 'D': 1760, 'Yes': 943, 'Bad Output': 3}","{'A': 44.49, 'Neither': 16.6, 'No': 13.18, 'C': 8.35, 'B': 7.19, 'D': 6.63, 'Yes': 3.55, 'Bad Output': 0.01}"
EleutherAI--gpt-j-6b,,,26550,17828,8722,67.1487758945386,32.85122410546139,"{'Bad Output': 8722, 'No': 5981, 'B': 4119, 'Yes': 2798, 'A': 2548, 'D': 1215, 'C': 1096, 'Neither': 71}","{'Bad Output': 32.85, 'No': 22.53, 'B': 15.51, 'Yes': 10.54, 'A': 9.6, 'D': 4.58, 'C': 4.13, 'Neither': 0.27}"
databricks--dolly-v2-7b,,,26550,16510,10040,62.18455743879473,37.81544256120527,"{'Bad Output': 10040, 'A': 8097, 'C': 3271, 'Yes': 1814, 'B': 1506, 'D': 1445, 'Neither': 267, 'No': 110}","{'Bad Output': 37.82, 'A': 30.5, 'C': 12.32, 'Yes': 6.83, 'B': 5.67, 'D': 5.44, 'Neither': 1.01, 'No': 0.41}"
openlm-research--open_llama_7b_v2,,,26550,17700,8850,66.66666666666667,33.333333333333336,"{'Bad Output': 8850, 'A': 5541, 'Yes': 4931, 'No': 3537, 'D': 1147, 'C': 1118, 'B': 1044, 'Neither': 382}","{'Bad Output': 33.33, 'A': 20.87, 'Yes': 18.57, 'No': 13.32, 'D': 4.32, 'C': 4.21, 'B': 3.93, 'Neither': 1.44}"
HuggingFaceH4--zephyr-7b-alpha,,,26550,26527,23,99.91337099811676,0.08662900188323917,"{'B': 13254, 'Neither': 4197, 'No': 3613, 'A': 3105, 'Yes': 1018, 'C': 783, 'D': 557, 'Bad Output': 23}","{'B': 49.92, 'Neither': 15.81, 'No': 13.61, 'A': 11.69, 'Yes': 3.83, 'C': 2.95, 'D': 2.1, 'Bad Output': 0.09}"
migtissera--Synthia-7B,,,26550,26550,0,100.0,0.0,"{'A': 14967, 'Yes': 4222, 'No': 2763, 'B': 2404, 'Neither': 1865, 'C': 320, 'D': 9}","{'A': 56.37, 'Yes': 15.9, 'No': 10.41, 'B': 9.05, 'Neither': 7.02, 'C': 1.21, 'D': 0.03}"
bigscience--bloomz-7b1-mt,,,26550,26550,0,100.0,0.0,"{'D': 7801, 'A': 4887, 'No': 4853, 'Yes': 3997, 'B': 2533, 'C': 2479}","{'D': 29.38, 'A': 18.41, 'No': 18.28, 'Yes': 15.05, 'B': 9.54, 'C': 9.34}"
Neko-Institute-of-Science--pygmalion-7b,,,26550,17906,8644,67.44256120527307,32.55743879472693,"{'Bad Output': 8644, 'Yes': 7277, 'A': 4118, 'C': 2781, 'Neither': 1573, 'B': 1270, 'D': 887}","{'Bad Output': 32.56, 'Yes': 27.41, 'A': 15.51, 'C': 10.47, 'Neither': 5.92, 'B': 4.78, 'D': 3.34}"
tiiuae--falcon-7b-instruct,,,26550,20732,5818,78.08662900188324,21.91337099811676,"{'A': 9762, 'Bad Output': 5818, 'Yes': 2785, 'C': 2159, 'D': 1921, 'B': 1896, 'No': 1508, 'Neither': 701}","{'A': 36.77, 'Bad Output': 21.91, 'Yes': 10.49, 'C': 8.13, 'D': 7.24, 'B': 7.14, 'No': 5.68, 'Neither': 2.64}"
togethercomputer--RedPajama-INCITE-7B-Instruct,,,26550,25003,1547,94.17325800376648,5.826741996233522,"{'A': 10600, 'Neither': 4345, 'No': 3058, 'B': 2045, 'C': 1769, 'D': 1739, 'Bad Output': 1547, 'Yes': 1447}","{'A': 39.92, 'Neither': 16.37, 'No': 11.52, 'B': 7.7, 'C': 6.66, 'D': 6.55, 'Bad Output': 5.83, 'Yes': 5.45}"
